# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 152K of event 'cycles'
# Event count (approx.): 389391156896
#
# Children      Self  Symbol                                         IPC   [IPC Coverage]
# ........  ........  .............................................  ....................
#
   100.00%     0.00%  [.] __libc_start_call_main                     -      -            
   100.00%     0.00%  [.] __libc_start_main@@GLIBC_2.34              -      -            
   100.00%     0.00%  [.] _start                                     -      -            
   100.00%     0.00%  [.] do_cmd                                     -      -            
   100.00%     0.00%  [.] main                                       -      -            
   100.00%     0.00%  [.] speed_main                                 -      -            
    99.66%     0.00%  [.] run_benchmark                              -      -            
    71.42%     0.46%  [.] bn_mul_mont_fixed_top                      -      -            
    52.04%    52.04%  [.] __bn_sqr8x_mont                            -      -            
    47.68%     0.00%  [.] BN_mod_exp_mont_consttime                  -      -            
    47.68%     0.41%  [.] bn_mod_exp_mont_fixed_top                  -      -            
    26.22%     0.00%  [.] EVP_PKEY_verify                            -      -            
    26.18%     0.00%  [.] EVP_PKEY_sign                              -      -            
    22.02%     0.08%  [.] BN_mod_exp_mont                            -      -            
    20.55%     0.00%  [.] rsa_ossl_mod_exp                           -      -            
    19.98%     0.00%  [.] BN_mod_exp_mont_consttime_x2               -      -            
    18.53%    18.53%  [.] __bn_mul4x_mont                            -      -            
    16.13%     0.00%  [.] EVP_PKEY_generate                          -      -            
    16.13%     0.00%  [.] evp_keymgmt_util_gen                       -      -            
    16.12%     0.00%  [.] evp_keymgmt_gen                            -      -            
    11.04%     0.01%  [.] EC_POINT_mul                               -      -            
    11.03%     0.24%  [.] ecp_nistz256_points_mul                    -      -            
    10.67%     0.00%  [.] ossl_rsa_sp800_56b_generate_key            -      -            
    10.67%     0.00%  [.] rsa_gen                                    -      -            
    10.49%     0.00%  [.] SIG_keygen_loop                            -      -            
    10.49%     0.00%  [.] SIG_verify_loop                            -      -            
    10.49%     0.00%  [.] DSA_verify                                 -      -            
    10.49%     0.00%  [.] rsa_verify_directly.part.0                 -      -            
    10.49%     0.00%  [.] rsa_ossl_private_decrypt                   -      -            
    10.48%     0.00%  [.] rsa_ossl_private_encrypt                   -      -            
    10.48%     0.00%  [.] rsa_sign_directly                          -      -            
    10.48%     0.01%  [.] rsa_ossl_public_decrypt                    -      -            
    10.47%     0.00%  [.] SIG_sign_loop                              -      -            
    10.46%     0.00%  [.] dsa_sign                                   -      -            
    10.46%     0.00%  [.] dsa_do_verify                              -      -            
    10.46%     0.00%  [.] ossl_dsa_sign_int                          -      -            
    10.44%     0.00%  [.] ossl_dsa_do_sign_int                       -      -            
    10.15%     0.06%  [.] BN_mod_exp2_mont                           -      -            
    10.13%     0.00%  [.] ossl_rsa_fips186_5_gen_prob_primes         -      -            
    10.13%     0.00%  [.] ossl_bn_rsa_fips186_5_gen_prob_primes      -      -            
    10.05%     0.00%  [.] dsa_sign_setup.isra.0                      -      -            
    10.04%     0.01%  [.] BN_mod_mul_montgomery                      -      -            
    10.03%     0.01%  [.] rsa_ossl_public_encrypt                    -      -            
     9.93%     0.01%  [.] ossl_bn_check_generated_prime              -      -            
     9.81%     0.00%  [.] ossl_bn_rsa_fips186_5_derive_prime         -      -            
     9.58%     0.00%  [.] ossl_bn_miller_rabin_is_prime              -      -            
     6.14%     6.13%  [.] MOD_EXP_CTIME_COPY_FROM_PREBUF             -      -            
     5.77%     1.05%  [.] ecp_nistz256_point_double                  -      -            
     5.44%     0.00%  [.] dsa_gen                                    -      -            
     5.31%     0.00%  [.] KEM_keygen_loop                            -      -            
     5.25%     0.00%  [.] RSA_encrypt_loop                           -      -            
     5.25%     0.00%  [.] rsakem_recover                             -      -            
     5.24%     0.00%  [.] EVP_PKEY_encrypt                           -      -            
     5.24%     0.00%  [.] KEM_decaps_loop                            -      -            
     5.24%     0.00%  [.] RSA_verify_loop                            -      -            
     5.24%     0.00%  [.] FFDH_derive_key_loop                       -      -            
     5.24%     0.00%  [.] DH_compute_key                             -      -            
     5.24%     0.00%  [.] dh_plain_derive                            -      -            
     5.24%     0.00%  [.] KEM_encaps_loop                            -      -            
     5.24%     0.00%  [.] DSA_verify_loop                            -      -            
     5.24%     0.00%  [.] EVP_PKEY_decrypt                           -      -            
     5.24%     0.00%  [.] rsa_decrypt                                -      -            
     5.24%     0.00%  [.] RSA_decrypt_loop                           -      -            
     5.24%     0.00%  [.] ECDH_EVP_derive_key_loop                   -      -            
     5.24%     0.00%  [.] ecdh_derive                                -      -            
     5.24%     0.00%  [.] rsakem_generate                            -      -            
     5.24%     0.00%  [.] ossl_ecdsa_verify                          -      -            
     5.24%     0.00%  [.] ECDSA_verify_loop                          -      -            
     5.24%     0.00%  [.] ECDH_compute_key                           -      -            
     5.24%     0.00%  [.] ossl_dh_compute_key                        -      -            
     5.24%     0.00%  [.] DSA_sign_loop                              -      -            
     5.24%     0.00%  [.] ossl_ecdh_simple_compute_key               -      -            
     5.24%     0.00%  [.] ECDSA_sign_loop                            -      -            
     5.24%     0.00%  [.] RSA_sign_loop                              -      -            
     5.23%     0.00%  [.] rsa_encrypt                                -      -            
     5.23%     0.00%  [.] ecdsa_sign                                 -      -            
     5.21%     0.00%  [.] DSA_generate_key                           -      -            
     5.19%     0.00%  [.] ossl_ecdsa_sign                            -      -            
     5.18%     0.00%  [.] ossl_ecdsa_simple_verify_sig               -      -            
     5.06%     0.00%  [.] ossl_ecdsa_simple_sign_sig                 -      -            
     4.96%     0.01%  [.] ecdsa_sign_setup                           -      -            
     4.93%     4.93%  [.] __ecp_nistz256_mul_mont                    -      -            
     2.87%     0.00%  [.] ossl_dsa_generate_public_key               -      -            
     2.56%     0.00%  [.] ossl_ffc_params_FIPS186_4_gen_verify       -      -            
     2.37%     0.51%  [.] ecp_nistz256_point_add                     -      -            
     2.33%     0.00%  [.] ossl_ffc_params_simple_validate            -      -            
     2.30%     2.30%  [.] __ecp_nistz256_sqr_mont                    -      -            
     2.24%     0.00%  [.] ossl_ffc_params_validate_unverifiable_g    -      -            
     1.94%     0.02%  [.] ecp_nistz256_inv_mod_ord                   -      -            
     1.90%     0.37%  [.] ecp_nistz256_point_add_affine              -      -            
     1.78%     0.01%  [.] EC_POINT_get_affine_coordinates            -      -            
     1.77%     0.12%  [.] ecp_nistz256_get_affine.part.0             -      -            
     1.60%     1.60%  [.] ecp_nistz256_ord_sqr_mont                  -      -            
     1.55%     0.00%  [.] bn_from_mont_fixed_top                     -      -            
     1.55%     0.16%  [.] bn_from_montgomery_word                    -      -            
     1.54%     1.00%  [.] ecp_nistz256_sqr_mont                      -      -            
     1.43%     0.00%  [.] BN_from_montgomery                         -      -            
     1.27%     1.27%  [.] bn_mul_add_words                           -      -            
