# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 151K of event 'cycles'
# Event count (approx.): 553633736228
#
# Children      Self  Symbol                                          IPC   [IPC Coverage]
# ........  ........  ..............................................  ....................
#
    39.54%    39.52%  [.] bn_sqrx8x_internal                          -      -            
    29.12%     0.00%  [.] __libc_start_call_main                      -      -            
    29.12%     0.00%  [.] do_cmd                                      -      -            
    29.12%     0.00%  [.] main                                        -      -            
    29.12%     0.00%  [.] speed_main                                  -      -            
    29.11%     0.00%  [.] run_benchmark                               -      -            
    18.53%     0.00%  [.] rsa_ossl_mod_exp                            -      -            
    18.36%     0.00%  [.] BN_mod_exp_mont_consttime_x2                -      -            
    17.42%    17.41%  [.] ossl_rsaz_amm52x20_x2_ifma256               -      -            
    13.09%    13.08%  [.] bn_mulx4x_mont                              -      -            
    12.28%     0.01%  [.] EVP_PKEY_sign                               -      -            
     9.57%     0.00%  [.] rsa_ossl_private_decrypt                    -      -            
     9.56%     0.00%  [.] rsa_sign_directly                           -      -            
     9.56%     0.00%  [.] rsa_ossl_private_encrypt                    -      -            
     5.48%     0.00%  [.] SIG_sign_loop                               -      -            
     5.18%     5.17%  [.] __ecp_nistz256_mul_montx                    -      -            
     4.79%     0.00%  [.] rsakem_recover                              -      -            
     4.79%     0.00%  [.] KEM_decaps_loop                             -      -            
     4.79%     0.00%  [.] EVP_PKEY_decrypt                            -      -            
     4.79%     0.00%  [.] RSA_decrypt_loop                            -      -            
     4.79%     0.00%  [.] rsa_decrypt                                 -      -            
     4.78%     0.00%  [.] RSA_sign_loop                               -      -            
     4.31%     4.31%  [.] __ecp_nistz256_sqr_montx                    -      -            
     2.76%     0.01%  [.] EVP_PKEY_verify                             -      -            
     2.10%     2.09%  [.] mulx4x_internal                             -      -            
     1.77%     0.00%  [.] 0x2554b059ba5ff37d                          -      -            
     1.73%     0.00%  [.] EVP_PKEY_generate                           -      -            
     1.73%     0.00%  [.] evp_keymgmt_util_gen                        -      -            
     1.71%     0.00%  [.] evp_keymgmt_gen                             -      -            
     1.67%     0.00%  [.] BN_mod_exp_mont_consttime                   -      -            
     1.62%     1.62%  [.] ecp_nistz256_ord_sqr_montx                  -      -            
     1.61%     0.00%  [.] 0x65f434924bfcbe48                          -      -            
     1.60%     0.00%  [.] 0x917234f4c2830daa                          -      -            
     1.58%     0.10%  [.] bn_mod_exp_mont_fixed_top                   -      -            
     1.56%     0.00%  [.] 0xc36649ddc519b12f                          -      -            
     1.55%     0.01%  [.] rsa_ossl_public_encrypt                     -      -            
     1.50%     0.08%  [.] int_bn_mod_inverse                          -      -            
     1.49%     0.07%  [.] BN_mod_exp_mont                             -      -            
     1.47%     0.00%  [.] rsa_verify_directly.part.0                  -      -            
     1.47%     0.00%  [.] dsa_sign                                    -      -            
     1.47%     0.00%  [.] ossl_dsa_sign_int                           -      -            
     1.46%     0.01%  [.] rsa_ossl_public_decrypt                     -      -            
     1.45%     0.00%  [.] ossl_dsa_do_sign_int                        -      -            
     1.40%     0.00%  [.] bn_from_mont_fixed_top                      -      -            
     1.31%     0.00%  [.] ossl_rsa_sp800_56b_generate_key             -      -            
