# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 152K of event 'cycles'
# Event count (approx.): 554455153411
#
# Children      Self  Symbol                                          IPC   [IPC Coverage]
# ........  ........  ..............................................  ....................
#
    39.68%    39.65%  [.] bn_sqrx8x_internal                          -      -            
    29.33%     0.00%  [.] __libc_start_call_main                      -      -            
    29.33%     0.00%  [.] do_cmd                                      -      -            
    29.33%     0.00%  [.] main                                        -      -            
    29.33%     0.00%  [.] speed_main                                  -      -            
    29.30%     0.00%  [.] run_benchmark                               -      -            
    18.27%     0.00%  [.] rsa_ossl_mod_exp                            -      -            
    18.09%     0.00%  [.] BN_mod_exp_mont_consttime_x2                -      -            
    17.18%    17.17%  [.] ossl_rsaz_amm52x20_x2_ifma256               -      -            
    12.91%    12.90%  [.] bn_mulx4x_mont                              -      -            
    12.26%     0.01%  [.] EVP_PKEY_sign                               -      -            
     9.53%     0.00%  [.] rsa_sign_directly                           -      -            
     9.52%     0.00%  [.] rsa_ossl_private_encrypt                    -      -            
     9.51%     0.00%  [.] rsa_ossl_private_decrypt                    -      -            
     5.49%     0.00%  [.] SIG_sign_loop                               -      -            
     5.15%     5.15%  [.] __ecp_nistz256_mul_montx                    -      -            
     4.78%     0.00%  [.] KEM_decaps_loop                             -      -            
     4.78%     0.00%  [.] rsakem_recover                              -      -            
     4.77%     0.00%  [.] RSA_sign_loop                               -      -            
     4.74%     0.00%  [.] EVP_PKEY_decrypt                            -      -            
     4.74%     0.00%  [.] rsa_decrypt                                 -      -            
     4.74%     0.00%  [.] RSA_decrypt_loop                            -      -            
     4.20%     4.20%  [.] __ecp_nistz256_sqr_montx                    -      -            
     2.73%     0.01%  [.] EVP_PKEY_verify                             -      -            
     2.06%     2.06%  [.] mulx4x_internal                             -      -            
     1.98%     0.00%  [.] EVP_PKEY_generate                           -      -            
     1.98%     0.00%  [.] evp_keymgmt_util_gen                        -      -            
     1.97%     0.00%  [.] evp_keymgmt_gen                             -      -            
     1.85%     0.06%  [.] int_bn_mod_inverse                          -      -            
     1.78%     0.00%  [.] 0xb2009e0bd6e40a00                          -      -            
     1.65%     1.65%  [.] ecp_nistz256_ord_sqr_montx                  -      -            
     1.65%     0.00%  [.] 0x0c8023dd9e9350cc                          -      -            
     1.64%     0.00%  [.] 0x31431fe424e68a86                          -      -            
     1.63%     0.00%  [.] BN_mod_exp_mont_consttime                   -      -            
     1.63%     0.00%  [.] rsa_ossl_public_encrypt                     -      -            
     1.61%     0.00%  [.] 0x5fc4aac775e2bb65                          -      -            
     1.57%     0.00%  [.] ossl_rsa_sp800_56b_generate_key             -      -            
     1.57%     0.00%  [.] rsa_gen                                     -      -            
     1.54%     0.11%  [.] bn_mod_exp_mont_fixed_top                   -      -            
     1.53%     0.06%  [.] BN_mod_exp_mont                             -      -            
     1.50%     0.00%  [.] dsa_sign                                    -      -            
     1.50%     0.00%  [.] ossl_bn_rsa_fips186_5_gen_prob_primes       -      -            
     1.50%     0.00%  [.] ossl_rsa_fips186_5_gen_prob_primes          -      -            
     1.49%     0.00%  [.] BN_mod_inverse                              -      -            
     1.49%     0.03%  [.] BN_div                                      -      -            
     1.49%     0.00%  [.] ossl_dsa_sign_int                           -      -            
     1.47%     0.00%  [.] ossl_dsa_do_sign_int                        -      -            
     1.45%     0.00%  [.] rsa_verify_directly.part.0                  -      -            
     1.45%     0.01%  [.] rsa_ossl_public_decrypt                     -      -            
     1.39%     0.01%  [.] bn_from_mont_fixed_top                      -      -            
     1.28%     0.00%  [.] BN_from_montgomery                          -      -            
     1.28%     0.00%  [.] ossl_bn_rsa_fips186_5_derive_prime          -      -            
     1.25%     0.00%  [.] 0x80c68fa041af62c4                          -      -            
     1.23%     0.00%  [.] ECDSA_sign_loop                             -      -            
     1.23%     0.00%  [.] 0x92fdf9fc8fe518e1                          -      -            
     1.23%     0.00%  [.] ecdsa_sign                                  -      -            
     1.20%     0.00%  [.] ossl_ecdsa_sign                             -      -            
     1.18%     0.00%  [.] 0x9d15923532c1e761                          -      -            
     1.18%     0.00%  [.] SIG_keygen_loop                             -      -            
     1.17%     0.00%  [.] 0xd3acf0dedd5e9f44                          -      -            
     1.17%     0.00%  [.] KEM_encaps_loop                             -      -            
     1.17%     0.00%  [.] rsakem_generate                             -      -            
     1.14%     0.00%  [.] SIG_verify_loop                             -      -            
     1.12%     0.40%  [.] bn_div_fixed_top                            -      -            
     1.09%     0.00%  [.] EC_POINT_mul                                -      -            
     1.09%     1.09%  [.] bn_mul_add_words                            -      -            
     1.08%     0.00%  [.] ossl_ecdsa_simple_sign_sig                  -      -            
     1.08%     0.01%  [.] ossl_bn_check_generated_prime               -      -            
     1.04%     0.00%  [.] 0x685c2821e9f5b158                          -      -            
     1.02%     0.01%  [.] ecdsa_sign_setup                            -      -            
     0.99%     0.98%  [.] MOD_EXP_CTIME_COPY_FROM_PREBUF              -      -            
     0.98%     0.98%  [.] bn_sqr8x_mont                               -      -            
     0.96%     0.00%  [.] dsa_sign_setup.isra.0                       -      -            
     0.96%     0.00%  [.] RSA_encrypt_loop                            -      -            
     0.96%     0.00%  [.] EVP_PKEY_encrypt                            -      -            
     0.95%     0.00%  [.] 0xd1f2a11a84a14356                          -      -            
     0.94%     0.00%  [.] rsa_encrypt                                 -      -            
     0.92%     0.00%  [.] 0xb519022c87dce757                          -      -            
     0.92%     0.00%  [.] 0x5da7d854c3657dc3                          -      -            
     0.83%     0.82%  [.] OPENSSL_cleanse                             -      -            
     0.80%     0.74%  [.] bn2binpad                                   -      -            
     0.79%     0.00%  [.] KEM_keygen_loop                             -      -            
     0.77%     0.00%  [.] DSA_sign_loop                               -      -            
     0.73%     0.73%  [.] ossl_extract_multiplier_2x20_win5           -      -            
     0.73%     0.00%  [.] DSA_verify                                  -      -            
     0.71%     0.00%  [.] RSA_verify_loop                             -      -            
     0.70%     0.00%  [.] dsa_do_verify                               -      -            
     0.69%     0.67%  [.] bin2bn                                      -      -            
     0.68%     0.11%  [.] BN_CTX_end                                  -      -            
     0.64%     0.00%  [.] 0xd331ec384f742124                          -      -            
     0.61%     0.00%  [.] 0x1b52abc23961eedd                          -      -            
     0.60%     0.00%  [.] 0x7d2fe363630c75d8                          -      -            
     0.60%     0.00%  [.] 0xf388dcab9915bcf0                          -      -            
     0.59%     0.00%  [.] 0xaa06f246ef2297ba                          -      -            
     0.58%     0.00%  [.] 0x886b423861285c97                          -      -            
     0.57%     0.57%  [.] __bn_postx4x_internal                       -      -            
     0.57%     0.00%  [.] 0x8835de185617f034                          -      -            
     0.57%     0.00%  [.] 0x8b6d2b05e561383f                          -      -            
     0.56%     0.56%  [.] __ecp_nistz256_sub_fromx                    -      -            
     0.56%     0.56%  [.] __ecp_nistz256_mul_by_2x                    -      -            
     0.56%     0.56%  [.] BN_mod_word                                 -      -            
     0.55%     0.00%  [.] 0x9e02fce1cdf7e2ec                          -      -            
     0.54%     0.00%  [.] 0x1df158a136ade735                          -      -            
     0.54%     0.54%  [.] bn_mul_mont                                 -      -            
     0.54%     0.00%  [.] BN_BLINDING_convert_ex                      -      -            
     0.54%     0.00%  [.] BN_BLINDING_update                          -      -            
     0.54%     0.00%  [.] BN_BLINDING_create_param                    -      -            
     0.54%     0.00%  [.] 0xf36f7f940ae687f2                          -      -            
     0.54%     0.00%  [.] ECDSA_verify_loop                           -      -            
     0.53%     0.00%  [.] ossl_ecdsa_verify                           -      -            
     0.52%     0.00%  [.] 0x7c759f09062c1df2                          -      -            
     0.51%     0.00%  [.] ossl_bn_miller_rabin_is_prime               -      -            
     0.48%     0.00%  [.] ossl_ecdsa_simple_verify_sig                -      -            
     0.47%     0.00%  [.] BN_MONT_CTX_set                             -      -            
     0.43%     0.01%  [.] EVP_RAND_generate                           -      -            
     0.42%     0.02%  [.] evp_rand_generate_locked                    -      -            
     0.41%     0.41%  [.] ecp_nistz256_avx2_gather_w7                 -      -            
     0.39%     0.00%  [.] dsa_gen                                     -      -            
     0.38%     0.00%  [.] BN_are_coprime                              -      -            
     0.37%     0.00%  [.] DSA_generate_key                            -      -            
     0.36%     0.00%  [.] 0x0000000000000111                          -      -            
     0.36%     0.36%  [.] ecp_nistz256_point_doublex                  -      -            
     0.35%     0.00%  [.] DSA_verify_loop                             -      -            
     0.34%     0.00%  [.] ECDH_EVP_derive_key_loop                    -      -            
     0.34%     0.00%  [.] ecdh_derive                                 -      -            
     0.34%     0.01%  [.] bnrand_range.constprop.0                    -      -            
     0.34%     0.00%  [.] ECDH_compute_key                            -      -            
     0.34%     0.00%  [.] FFDH_derive_key_loop                        -      -            
     0.34%     0.00%  [.] dh_plain_derive                             -      -            
     0.34%     0.01%  [.] DH_compute_key                              -      -            
     0.33%     0.00%  [.] ossl_ecdh_simple_compute_key                -      -            
     0.33%     0.00%  [.] ossl_dh_compute_key                         -      -            
     0.31%     0.23%  [.] bn_mul_mont_fixed_top                       -      -            
     0.31%     0.31%  [.] ecp_nistz256_ord_mul_montx                  -      -            
     0.30%     0.00%  [.] ossl_bn_gen_dsa_nonce_fixed_top             -      -            
     0.29%     0.29%  [.] BN_num_bits_word                            -      -            
     0.29%     0.03%  [.] BN_CTX_free                                 -      -            
     0.28%     0.00%  [.] BN_nnmod                                    -      -            
     0.28%     0.02%  [.] ossl_prov_drbg_generate                     -      -            
     0.28%     0.22%  [.] ecp_nistz256_points_mul                     -      -            
     0.27%     0.00%  [.] RAND_priv_bytes_ex                          -      -            
     0.26%     0.00%  [k] 0000000000000000                            -      -            
     0.25%     0.00%  [.] ossl_dsa_generate_public_key                -      -            
     0.25%     0.04%  [.] BN_mod_exp2_mont                            -      -            
     0.25%     0.03%  [.] BN_clear_free                               -      -            
     0.25%     0.25%  [.] ecp_nistz256_point_addx                     -      -            
     0.24%     0.00%  [.] EC_POINT_get_affine_coordinates             -      -            
     0.24%     0.03%  [.] ossl_rsa_padding_add_PKCS1_type_2_ex        -      -            
     0.24%     0.17%  [.] bn_from_montgomery_word                     -      -            
     0.22%     0.03%  [.] drbg_ctr_generate                           -      -            
     0.21%     0.21%  [.] __ecp_nistz256_subx                         -      -            
     0.19%     0.00%  [.] RAND_bytes_ex                               -      -            
     0.19%     0.00%  [.] BN_mod_mul                                  -      -            
     0.19%     0.19%  [.] __ecp_nistz256_add_tox                      -      -            
     0.19%     0.00%  [.] ossl_encode_der_dsa_sig                     -      -            
     0.19%     0.06%  [.] bn_mul_fixed_top                            -      -            
     0.19%     0.01%  [.] BN_mul                                      -      -            
     0.18%     0.04%  [.] bn_expand2                                  -      -            
     0.18%     0.18%  [.] ecp_nistz256_point_add_affinex              -      -            
     0.16%     0.16%  [.] _int_free                                   -      -            
     0.16%     0.00%  [.] i2d_ECDSA_SIG                               -      -            
